,times,train_loss,test_loss,train_acc,test_acc
0,56.55924338661134,994585.6529677481,995733.3036885292,0.0,0.0
1,21.664846084080637,623860.954622245,635982.2430015625,0.0,0.0
2,21.621052857488394,422611.19944701775,423661.80939067295,0.0,0.0
3,21.587652935646474,322910.6471977947,322651.6184233796,0.0,0.0
4,21.58540667127818,256889.13889388292,257531.4906479367,0.0,0.0
5,21.71955928672105,212819.6377508229,211963.56942045613,0.0,0.0
6,21.593667169101536,186475.72062757774,187246.04055333143,0.0,0.0
7,21.71639191824943,163726.75865828438,162511.12927875575,0.0,0.0
8,21.8230204815045,149187.95653225813,148716.20817790998,0.0,0.0
9,21.659402928315103,137620.03668061085,136968.10519068825,0.0,0.0
10,21.68556150700897,126639.20650681492,125651.79361253961,0.0,0.0
11,21.59235337562859,120002.93550171329,119216.58161950634,0.0,0.0
12,21.549872552976012,113337.75979522144,112482.01789615786,0.0,0.0
13,21.631019573658705,108405.59080256407,107799.62973061313,0.0,0.0
14,21.575038706883788,104301.74766515935,103505.73754455707,0.0,0.0
15,22.05647453479469,100041.18422304504,99069.08473084225,0.0,0.0
16,22.196296317502856,96669.04942118363,95538.15710595674,0.0,0.0
17,22.039354698732495,93928.97536358889,92892.4308409065,0.0,0.0
18,21.90103178936988,91103.9912252746,90293.90640202373,0.0,0.0
19,21.9850691864267,88992.61169366936,87828.2503671509,0.0,0.0
20,21.757586082443595,87038.81656891482,86059.67278941246,0.0,0.0
21,21.920808452181518,85290.71251824756,84269.90464060656,0.0,0.0
22,21.794942751526833,83848.05948673491,82935.27162317894,0.0,0.0
23,21.68860073108226,82573.66045474833,81606.21110863205,0.0,0.0
24,21.60225926525891,81552.64279536651,80355.61369490449,0.0,0.0
25,21.85291159339249,80981.62678123973,79622.67395149785,0.0,0.0
26,21.86204817239195,79924.34705585848,78470.36321315935,0.0,0.0
27,22.00761616230011,79023.29026939056,77532.88605514099,0.0,0.0
28,22.013291401788592,78248.07344100998,76629.62359973356,0.0,0.0
29,21.737902658060193,77358.95533352406,75850.25621849857,0.0,0.0
30,22.155167049728334,76551.34847745915,75056.09537219586,0.0,0.0
31,21.821812434121966,75789.19310961576,74272.19291608056,0.0,0.0
32,21.747117933817208,75128.34378637202,73533.39381353823,0.0,0.0
33,21.6845610011369,74550.00526493821,72921.48717483591,0.0,0.0
34,21.65604810602963,74180.76204222922,72539.1679328596,0.0,0.0
35,21.629573482088745,73760.5118611967,72049.52259254403,0.0,0.0
36,21.882963506504893,73197.77749735283,71436.47085077233,0.0,0.0
37,21.834117873571813,72804.3130258066,71076.51153347363,0.0,0.0
38,22.001413569785655,72433.64464547006,70598.72426032469,0.0,0.0
39,21.513445272110403,72037.95715765402,70169.70846632561,0.0,0.0
