,times,train_loss,test_loss,train_acc,test_acc
0,132.56288530817255,687238.1240822872,684070.7203206392,0.0,0.0
1,134.4814615198411,523981.1649556163,525815.8007047419,0.0,0.0
2,135.0141474767588,255058.39577002588,259660.45765737083,0.0,0.0
3,145.18931235885248,158297.33073428596,158831.85631734575,0.0,0.0
4,131.7502921000123,93948.43594725698,96063.0580051788,0.0,0.0
5,135.75452575134113,55948.12551232311,55797.30560883988,0.0,0.0
6,136.4469427280128,31544.885113893997,31525.733917650163,0.0,0.0
7,134.71504312520847,25958.126124859544,25396.5187658593,0.0,0.0
8,132.17364498181269,18351.610994241782,18139.169590706784,0.0,0.0
9,167.6715783951804,13885.844912668836,13801.842785180406,0.0,0.0
10,140.876272959169,9973.213652961973,9857.377166709146,0.0,0.0
11,160.28672309499234,9116.92043790495,9094.898251588778,0.0,0.0
12,163.89903360791504,7300.9838215415875,7255.641092222091,0.0,0.0
13,132.40101575804874,5815.972644576376,5771.062571521233,0.0,0.0
14,128.0376290427521,5015.074657000379,5035.580746535277,0.0,0.0
15,150.06664764229208,4288.841083905102,4273.8425344877005,0.0,0.0
16,136.20925186714157,3743.6485015309536,3702.1731848113345,0.0,0.0
17,130.94636260299012,3425.912628108524,3408.4852681471543,0.0,0.0
18,154.66198919899762,3155.7020782716495,3142.8728109437448,0.0,0.0
19,137.32867273082957,2822.176405455774,2795.0121241251045,0.0,0.0
20,122.95010694302619,2584.8690796681412,2589.1923175410398,0.0,0.0
21,130.64154897583649,2437.1113853736997,2428.0085357121934,0.0,0.0
22,130.64233085513115,2299.085083953192,2286.0569451490296,0.0,0.0
23,127.02244309196249,2103.196103763298,2100.3379391033936,0.0,0.0
24,124.74890326196328,1930.843187661692,1918.0482574636794,0.0,0.0
25,122.88713715411723,1794.3681367483941,1784.4369917437505,0.0,0.0
26,129.39198376005515,1662.309916340607,1639.571140186981,0.0,0.0
27,126.1073443852365,1502.678576021531,1494.8998664686046,0.0,0.0
28,128.02498174039647,1429.186466113339,1411.2303471542043,0.0,0.0
29,126.47872558096424,1368.8792407768638,1350.3488722881489,0.0,0.0
30,130.24970095977187,1321.094928209454,1308.9820796052193,0.0,0.0
31,127.35898279165849,1259.5826984864605,1243.3381136656583,0.0,0.0
32,128.5894623780623,1187.5629084251887,1172.839656404811,0.0,0.0
33,129.60577668482438,1148.2049311240446,1133.918008305785,0.0,0.0
34,128.675465925131,1109.323442287554,1091.9248223904888,0.0,0.0
35,127.79685060307384,1078.2615513553674,1063.53566482092,0.0,0.0
36,125.60228305030614,1050.7247339400599,1043.9723137204617,0.0,0.0
37,125.27237738482654,1008.0336197161619,1000.1061327101526,0.0,0.0
38,127.28011706192046,978.5416738232901,967.0312433862722,0.0,0.0
39,125.71009386703372,957.3246022745241,948.9844855344093,0.0,0.0
