,dataset,time,epochs,lr,weight_decay,train_loss,train_acc,test_loss,test_acc,seed,time_this_iter_s,should_checkpoint,done,timesteps_total,episodes_total,training_iteration,trial_id,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,warmup_time
0,volkert,172.98913859948516,1,3.0,0.0001666666666666,143.1819559595757,19.874378326682933,2.238162227528232,21.90018864688733,1111,1695.1788594722748,True,False,,,1,416e8_00009,55d9510116b14ab98eb31a41dbe7292f,2022-10-09_12-32-06,1665333126,1695.1788594722748,1197037,udell-compute-01.orie.cornell.edu,128.84.100.165,1695.1788594722748,0,1,0.0122520923614501
1,volkert,222.14889553561807,2,3.0,0.0001666666666666,3.6116243863551456,24.676299091065,2.024310145445987,27.54244554964843,1111,49.19954013824463,True,False,,,2,416e8_00009,55d9510116b14ab98eb31a41dbe7292f,2022-10-09_12-32-55,1665333175,1744.3783996105194,1197037,udell-compute-01.orie.cornell.edu,128.84.100.165,1744.3783996105194,0,2,0.0122520923614501
2,volkert,271.84509597346187,3,3.0,0.0001666666666666,2.39862913153957,25.8103241322687,1.9831094783936043,28.12553592865718,1111,49.733741998672485,True,False,,,3,416e8_00009,55d9510116b14ab98eb31a41dbe7292f,2022-10-09_12-33-45,1665333225,1794.112141609192,1197037,udell-compute-01.orie.cornell.edu,128.84.100.165,1794.112141609192,0,3,0.0122520923614501
3,volkert,320.9417493529618,4,3.0,0.0001666666666666,2.2357234091685947,26.46844452393646,1.97577230931555,21.90018864688733,1111,49.13523983955383,True,False,,,4,416e8_00009,55d9510116b14ab98eb31a41dbe7292f,2022-10-09_12-34-34,1665333274,1843.2473814487455,1197037,udell-compute-01.orie.cornell.edu,128.84.100.165,1843.2473814487455,0,4,0.0122520923614501
4,volkert,369.3617409951985,5,3.0,0.0001666666666666,1.9705537527549168,27.175870348793467,1.9815218271184512,27.422397530440747,1111,48.45762062072754,True,False,,,5,416e8_00009,55d9510116b14ab98eb31a41dbe7292f,2022-10-09_12-35-23,1665333323,1891.7050020694733,1197037,udell-compute-01.orie.cornell.edu,128.84.100.165,1891.7050020694733,0,5,0.0122520923614501
5,volkert,417.98803758621216,6,3.0,0.0001666666666666,1.9628410356119597,27.726805009025792,1.9397837012735328,25.493054364602983,1111,48.665202140808105,True,False,,,6,416e8_00009,55d9510116b14ab98eb31a41dbe7292f,2022-10-09_12-36-11,1665333371,1940.3702042102811,1197037,udell-compute-01.orie.cornell.edu,128.84.100.165,1940.3702042102811,0,6,0.0122520923614501
6,volkert,466.46810119971633,7,3.0,0.0001666666666666,31.64261119270832,26.01183330867573,2.014290116966292,26.76213342479849,1111,48.51745104789734,True,False,,,7,416e8_00009,55d9510116b14ab98eb31a41dbe7292f,2022-10-09_12-37-00,1665333420,1988.8876552581787,1197037,udell-compute-01.orie.cornell.edu,128.84.100.165,1988.8876552581787,0,7,0.0122520923614501
7,volkert,515.5913563519716,8,3.0,0.0001666666666666,1.9716880973463624,28.209140801139444,1.997165651473515,21.13702623906705,1111,49.15818214416504,True,False,,,8,416e8_00009,55d9510116b14ab98eb31a41dbe7292f,2022-10-09_12-37-49,1665333469,2038.045837402344,1197037,udell-compute-01.orie.cornell.edu,128.84.100.165,2038.045837402344,0,8,0.0122520923614501
8,volkert,563.8053688146174,9,3.0,0.0001666666666666,1.959400391194326,29.10735723122257,1.9358155135326616,29.737609329446062,1111,48.249308586120605,True,False,,,9,416e8_00009,55d9510116b14ab98eb31a41dbe7292f,2022-10-09_12-38-37,1665333517,2086.2951459884644,1197037,udell-compute-01.orie.cornell.edu,128.84.100.165,2086.2951459884644,0,9,0.0122520923614501
9,volkert,612.6693577729166,10,3.0,0.0001666666666666,1.948352172370228,29.81049563205584,1.9386477368586552,29.96055565083176,1111,48.89983129501343,True,False,,,10,416e8_00009,55d9510116b14ab98eb31a41dbe7292f,2022-10-09_12-39-26,1665333566,2135.194977283478,1197037,udell-compute-01.orie.cornell.edu,128.84.100.165,2135.194977283478,0,10,0.0122520923614501
10,volkert,661.8709297627211,11,3.0,0.0001666666666666,1.911263198309545,31.23820957085052,1.89207958717163,32.2071685817184,1111,49.23807430267334,True,False,,,11,416e8_00009,55d9510116b14ab98eb31a41dbe7292f,2022-10-09_12-40-15,1665333615,2184.433051586151,1197037,udell-compute-01.orie.cornell.edu,128.84.100.165,2184.433051586151,0,11,0.0122520923614501
11,volkert,710.681577026844,12,3.0,0.0001666666666666,1.8938951549757368,32.90816326530612,1.8833802383609628,33.09895386726119,1111,48.84984254837036,True,False,,,12,416e8_00009,55d9510116b14ab98eb31a41dbe7292f,2022-10-09_12-41-04,1665333664,2233.282894134521,1197037,udell-compute-01.orie.cornell.edu,128.84.100.165,2233.282894134521,0,12,0.0122520923614501
12,volkert,758.7445037811995,13,3.0,0.0001666666666666,1.8844990506627677,33.847110273334714,1.872580724747098,33.55342136854742,1111,48.10069799423218,True,False,,,13,416e8_00009,55d9510116b14ab98eb31a41dbe7292f,2022-10-09_12-41-52,1665333712,2281.3835921287537,1197037,udell-compute-01.orie.cornell.edu,128.84.100.165,2281.3835921287537,0,13,0.0122520923614501
13,volkert,807.3139294721186,14,3.0,0.0001666666666666,1.8782892130881348,34.3144400630474,1.8606972134638724,35.036871891613785,1111,48.606510639190674,True,False,,,14,416e8_00009,55d9510116b14ab98eb31a41dbe7292f,2022-10-09_12-42-41,1665333761,2329.9901027679443,1197037,udell-compute-01.orie.cornell.edu,128.84.100.165,2329.9901027679443,0,14,0.0122520923614501
