,times,data_upd_times,test_loss,test_acc,eta
0,5188.059935690835,4503.242296018638,0.6914478530759435,52.9014,0.3999999999999999
1,5299.433325197082,4605.501637592912,0.6914391912325404,52.9014,0.3999999999999999
2,5306.698232064024,4616.281510566361,0.6914291478858976,52.9014,0.3999999999999999
3,5299.09739272017,4606.98108943738,0.6914191146635132,52.9014,0.3999999999999999
4,5304.148344182875,4610.722068348434,0.691409075829206,52.9014,0.3999999999999999
5,5306.978354919702,4616.587058677804,0.691399038010199,52.9014,0.3999999999999999
6,5296.542765699327,4605.6562770828605,0.6913890090427208,52.9014,0.3999999999999999
7,5311.823887469247,4616.617231450975,0.691378988460216,52.9014,0.3999999999999999
8,5304.350011243951,4615.068601911422,0.6913689757989906,52.9014,0.3999999999999999
9,5297.9738361416385,4609.158597690053,0.6913589722731195,52.9014,0.3999999999999999
