,times,train_loss,test_loss,train_acc,test_acc
0,61.903983366675675,864964.4109715889,863458.9667281505,0.0,0.0
1,9.218920692801476,570324.474403216,559386.7324576859,0.0,0.0
2,9.33667063480243,445672.85943773005,435503.7752764171,0.0,0.0
3,8.98339705588296,386652.1051268883,378052.7452298646,0.0,0.0
4,8.53459065593779,353310.85128181527,343689.4591101847,0.0,0.0
5,8.541333616245538,330508.76886291965,320837.58024942374,0.0,0.0
6,8.365505250170827,313785.1086705164,304295.3131240391,0.0,0.0
7,8.333188929129392,302299.15448708314,291808.2124049035,0.0,0.0
8,8.480462172999978,292620.178284953,280780.97327012464,0.0,0.0
9,8.431572486180812,284569.4246936541,271853.4102584922,0.0,0.0
10,8.4328064029105,278233.449164707,265200.13007385354,0.0,0.0
11,8.51246951520443,272607.3387455766,258053.7858776617,0.0,0.0
12,8.546010102145374,267577.4462711987,252076.4199600503,0.0,0.0
13,9.169671616982669,262789.9872831738,246620.1275356851,0.0,0.0
14,9.438049357850105,258685.3999130446,241367.8398351066,0.0,0.0
15,9.0801603179425,254910.29019967347,236974.68893986993,0.0,0.0
16,8.68018270470202,251172.39076858378,232925.44099055015,0.0,0.0
17,8.579102367162704,247986.40028101148,228279.70595924894,0.0,0.0
18,8.714525355957448,244544.65408647916,224135.40182876564,0.0,0.0
19,8.253328142222017,241153.42962516824,219707.8198214776,0.0,0.0
20,8.176374102011323,237410.31421899045,214771.25511404747,0.0,0.0
21,8.289318733848631,234215.31639130777,210971.5494495131,0.0,0.0
22,8.557704186998308,230712.87507404468,206453.8452418908,0.0,0.0
23,9.092757700942457,227045.19169843124,201896.52307834054,0.0,0.0
24,8.936742511112243,223336.340007321,196420.90557546634,0.0,0.0
25,9.052205799147487,219167.07260603431,191009.54651230422,0.0,0.0
26,9.000084704719484,214655.5137178203,185299.68652043273,0.0,0.0
27,8.831416795961559,209948.59309748904,179788.7285753476,0.0,0.0
28,8.997635785024613,205206.73324712913,173396.04858207575,0.0,0.0
29,9.030980390962213,200353.9096359761,167337.92363595127,0.0,0.0
30,9.016114835161716,194853.5609629449,160648.98132427424,0.0,0.0
31,8.743714169133455,189037.12260793307,154161.25800115924,0.0,0.0
32,8.508027989882976,182980.2698431738,147678.83239280642,0.0,0.0
33,8.341533790808171,177016.77016236127,140773.01904499508,0.0,0.0
34,8.422199693974108,170631.22519377834,134594.62365030678,0.0,0.0
35,8.576517924666405,163447.1277285755,127792.4276127406,0.0,0.0
36,8.683871707413346,156092.1126277687,120466.55801879945,0.0,0.0
37,9.168053917121142,148023.64913818435,112155.11530045251,0.0,0.0
38,9.194871378596872,140978.95117885826,105161.97632559738,0.0,0.0
39,9.150699981953949,133230.2180128825,97573.98265579426,0.0,0.0
