,times,train_loss,test_loss,train_acc,test_acc
0,91.86107434332371,699432.54758125,674913.0184870891,0.0,0.0
1,21.68300469778478,530092.9765640249,515557.8746664992,0.0,0.0
2,21.5636730985716,394269.6245792731,390565.7012309932,0.0,0.0
3,21.678215417079628,295060.8484897531,290325.52532378794,0.0,0.0
4,21.74621809925884,227929.84246808442,225464.0089027602,0.0,0.0
5,21.817690186202526,170008.24815044593,167688.43602411103,0.0,0.0
6,21.69266909174621,128355.58786891607,126882.1046238649,0.0,0.0
7,21.973710075952113,109400.50427901788,107325.45982599417,0.0,0.0
8,21.716666142456234,89476.85597791869,87904.58971530684,0.0,0.0
9,21.705023675225675,80333.5018858915,78839.82510239021,0.0,0.0
10,21.896787297911942,69836.98307624257,69403.06828883161,0.0,0.0
11,21.720215121284127,62619.700631876076,62355.15785186618,0.0,0.0
12,21.799237665720284,56350.44702160735,55833.18159114441,0.0,0.0
13,21.67202080693096,47918.099555295856,47542.91920449793,0.0,0.0
14,21.67851529456675,42880.74640011397,42367.19407466935,0.0,0.0
15,21.907304871827364,39593.30036152162,39048.478498784156,0.0,0.0
16,21.79056065902114,36113.42966883305,35593.77266721701,0.0,0.0
17,21.81647997535765,34354.41101563962,33765.48616472694,0.0,0.0
18,21.74513203278184,33455.59240816367,32879.609776039484,0.0,0.0
19,21.824366990476847,31841.646996663927,31392.99856035109,0.0,0.0
20,22.112073315307498,29255.621801541245,28882.491858286543,0.0,0.0
21,21.620418823324144,27477.758000108584,27199.336799082736,0.0,0.0
22,21.754706423729658,26935.099853357675,26564.54949684668,0.0,0.0
23,21.68949841335416,25655.442689580937,25322.841276865256,0.0,0.0
24,22.12753513082862,24402.52505281201,24054.403042026446,0.0,0.0
25,21.87691595684737,23305.516569176394,22950.038737094535,0.0,0.0
26,21.526514207944274,22414.80885967132,22042.153623049326,0.0,0.0
27,21.584201994352043,22146.445656207885,21765.512603159983,0.0,0.0
28,21.53487413469702,21016.904657546813,20737.54202347859,0.0,0.0
29,21.980451118201017,20446.198101538106,20215.525697518053,0.0,0.0
30,21.89879367966205,20220.255903761947,20035.24518806336,0.0,0.0
31,21.61286091711372,19688.874004209145,19521.85855700797,0.0,0.0
32,21.776101616211236,19499.592539180103,19329.050735667886,0.0,0.0
33,21.56244534999132,18963.08431866945,18718.367086392962,0.0,0.0
34,21.710444394499063,18336.19376442947,18068.064675902286,0.0,0.0
35,21.84102796576917,18069.010005814293,17778.31221970888,0.0,0.0
36,21.57864142023027,17550.27511295587,17258.99856675269,0.0,0.0
37,21.613514638505876,16879.91821525384,16557.40355451698,0.0,0.0
38,21.552240937016904,16765.90102922479,16419.752497500802,0.0,0.0
39,21.579530647024512,16376.316438341732,15945.525457051639,0.0,0.0
